time,iteration-avg-no-agent,iteration-p95-no-agent,http-req-avg-no-agent,http-req-p95-no-agent,iteration-avg-with-agent,iteration-p95-with-agent,http-req-avg-with-agent,http-req-p95-with-agent
20210427175649,364.59817273999926,485.60101499999996,28.436212548923052,247.5420299999995,442.5178265399999,621.41186655,34.53204131000006,307.0889564999999
20210427180310,477.2761746679999,608.6234754999999,37.353448106154026,346.21192879999955,540.5716323480005,758.2952370999997,42.06808884399992,391.0761242499995
20210427181519,404.26570604599993,531.0522957,31.336514441076826,274.89669069999997,463.5465753999999,665.9348001999999,36.08731061861558,320.3151550999998
20210427210805,474.6038440619994,602.9209907,36.898357218769156,329.31956104999995,484.0228151940002,657.5179905999998,37.722499970923145,333.01743319999946
20210427212751,529.877093212,694.4170372499999,41.14759411846168,399.05204595,607.060421786,846.1372640999999,47.1328111323076,446.8489853499995
20210428163419,503.56144951600004,665.1418550999999,39.08776131861534,377.0051686499995,561.7075292459997,747.45172095,43.65944213276914,414.3554512499996
20210428220109,426.8974318999997,539.5150171499995,33.322546957230664,300.4707412999999,513.6989169000002,705.6709034999999,39.88336388676917,352.5467425499955
20210429034750,490.5068625799997,635.9855702499998,38.156669094000016,339.12064309999977,575.4327486599998,773.4833483999998,44.833315881384536,416.68772404999925
20210429153858,542.5995744800002,716.8899964,42.29511497446156,401.00439784999975,624.6753744479998,818.5569181,48.555593862307525,453.0756590499999
20210430045316,484.42626587399997,604.27951375,37.6961310636924,346.15074864999946,562.9851983999997,754.0869810999999,43.46283438969223,423.9117714499996
20210430152625,419.03059584799945,551.81353895,32.718174402461514,305.14925334999947,437.0913210459996,607.64818445,34.178189635230844,310.47633419999977
20210430164336,471.11723578600015,620.3339699999998,36.680715367230896,330.52791199999996,557.3652957820007,780.5457892999999,43.55267136969229,388.97135729999957
20210506155102,434.82215715200044,547.7879798999999,33.97242489661542,304.90376889999976,496.11952062999995,692.8748363999999,38.613461787846155,348.6172983999997
20210507012100,491.22501797799947,630.1907292999996,37.96709622646152,354.11538309999895,559.8547075059997,760.4842929499999,43.558337633230956,410.17102809999983
20210519160828,567.2407891739994,762.1726659499998,44.14188222446154,417.8082464499998,631.1989080019996,821.4807053999998,48.956394152615225,467.56436084999706
20210527164235,455.0874791959999,608.4620991499999,35.551962493999916,303.8016641499997,553.7447726419999,777.3289243499997,43.295185685230805,406.8516451999988
20210528154602,449.86596146,572.7845695499999,35.50379926861544,308.8291248999995,478.00762306,640.2883921499997,37.376429275538435,331.24281104999915
20210604165704,377.62385533599985,491.49475534999993,29.566179485999967,254.050726099999,480.94253882800064,685.8674952499999,37.71697484169243,335.160166
20210617160804,583.5656891599995,779.8246527999999,45.339022585846294,433.4671336999998,613.4436532340001,835.6693776,47.964406048153805,439.4842455999997
20210617163400,476.220852432,627.25817125,36.94255684646149,338.6201676999998,503.4719066879994,726.7923744999999,38.988386593077,347.6711852999997
